trial,source_id,source_name,dest_id,dest_name,algorithm,runtime_s,edges_evaluated,path_cost,hops,same_cost
1,2141,Bayview Ave at Eglinton Ave ,478,Midland Ave at Lockie Ave No,Dijkstra,0.005888,7658,2.26,85,False
1,2141,Bayview Ave at Eglinton Ave ,478,Midland Ave at Lockie Ave No,A*,0.003253,3727,4.91,99,False
2,6403,Birchmount Rd at Steeles Ave,5815,Victoria Park Ave at Ferncre,Dijkstra,0.002379,3586,11.59,117,False
2,6403,Birchmount Rd at Steeles Ave,5815,Victoria Park Ave at Ferncre,A*,0.000248,201,13.17,144,False
3,5385,Vaughan Rd at Maplewood Ave ,2705,Glen Rd at Elm Ave,Dijkstra,0.005764,7758,1.98,123,False
3,5385,Vaughan Rd at Maplewood Ave ,2705,Glen Rd at Elm Ave,A*,0.001549,1665,2.43,115,False
4,1965,Weston Rd at Gunns Rd,43066,Yonge St at Gerrard St West ,Dijkstra,0.006314,9265,2.36,95,False
4,1965,Weston Rd at Gunns Rd,43066,Yonge St at Gerrard St West ,A*,0.002751,2691,3.23,164,False
5,1667,Markham Rd at 14Th Ave,9249,Ossington Ave at Leeds St,Dijkstra,0.003462,4998,4.63,170,False
5,1667,Markham Rd at 14Th Ave,9249,Ossington Ave at Leeds St,A*,0.000482,288,6.32,176,False
6,605,Kingston Rd at McCowan Rd,567,McLevin Ave at Malvern St,Dijkstra,0.000696,1129,0.86,49,False
6,605,Kingston Rd at McCowan Rd,567,McLevin Ave at Malvern St,A*,0.000139,99,1.96,66,False
7,1798,Eglinton Ave West at Duplex ,5297,Avenue Rd at Lawrence Ave We,Dijkstra,0.000115,184,0.53,12,True
7,1798,Eglinton Ave West at Duplex ,5297,Avenue Rd at Lawrence Ave We,A*,2.4e-05,20,0.53,12,True
8,5566,Jane St at Eglinton Ave West,11337,Gerrard St East at Woodfield,Dijkstra,0.007084,8369,1.97,147,False
8,5566,Jane St at Eglinton Ave West,11337,Gerrard St East at Woodfield,A*,0.000627,499,3.03,137,False
9,506,2040 Don Mills Rd,4922,Anglesey Blvd at Pinehurst C,Dijkstra,0.005959,8369,1.91,138,False
9,506,2040 Don Mills Rd,4922,Anglesey Blvd at Pinehurst C,A*,0.000339,249,3.93,120,False
10,43059,2231 Lawrence Ave East,9202,Rogers Rd at Oakwood Ave,Dijkstra,0.006067,8636,2.39,190,False
10,43059,2231 Lawrence Ave East,9202,Rogers Rd at Oakwood Ave,A*,0.001256,1284,4.88,157,False
